x1,x2,x3,x4,Output,labels
6.50E+00,3.00E+00,5.80E+00,2.20E+00,1.05E+02,2
7.60E+00,3.00E+00,6.60E+00,2.10E+00,1.06E+02,2
4.90E+00,2.50E+00,4.50E+00,1.70E+00,1.07E+02,2
7.30E+00,2.90E+00,6.30E+00,1.80E+00,1.08E+02,2
6.70E+00,2.50E+00,5.80E+00,1.80E+00,1.09E+02,2
7.20E+00,3.60E+00,6.10E+00,2.50E+00,1.10E+02,2
6.50E+00,3.20E+00,5.10E+00,2.00E+00,1.11E+02,2
6.40E+00,2.70E+00,5.30E+00,1.90E+00,1.12E+02,2
6.80E+00,3.00E+00,5.50E+00,2.10E+00,1.13E+02,2
5.70E+00,2.50E+00,5.00E+00,2.00E+00,1.14E+02,2
5.80E+00,2.80E+00,5.10E+00,2.40E+00,1.15E+02,2
6.40E+00,3.20E+00,5.30E+00,2.30E+00,1.16E+02,2
6.50E+00,3.00E+00,5.50E+00,1.80E+00,1.17E+02,2
7.70E+00,3.80E+00,6.70E+00,2.20E+00,1.18E+02,2
7.70E+00,2.60E+00,6.90E+00,2.30E+00,1.19E+02,2
6.00E+00,2.20E+00,5.00E+00,1.50E+00,1.20E+02,2
6.90E+00,3.20E+00,5.70E+00,2.30E+00,1.21E+02,2
5.60E+00,2.80E+00,4.90E+00,2.00E+00,1.22E+02,2
7.70E+00,2.80E+00,6.70E+00,2.00E+00,1.23E+02,2
6.30E+00,2.70E+00,4.90E+00,1.80E+00,1.24E+02,2
6.70E+00,3.30E+00,5.70E+00,2.10E+00,1.25E+02,2
7.20E+00,3.20E+00,6.00E+00,1.80E+00,1.26E+02,2
6.20E+00,2.80E+00,4.80E+00,1.80E+00,1.27E+02,2
6.10E+00,3.00E+00,4.90E+00,1.80E+00,1.28E+02,2
6.40E+00,2.80E+00,5.60E+00,2.10E+00,1.29E+02,2
7.20E+00,3.00E+00,5.80E+00,1.60E+00,1.30E+02,2
7.40E+00,2.80E+00,6.10E+00,1.90E+00,1.31E+02,2
7.90E+00,3.80E+00,6.40E+00,2.00E+00,1.32E+02,2
6.40E+00,2.80E+00,5.60E+00,2.20E+00,1.33E+02,2
6.30E+00,2.80E+00,5.10E+00,1.50E+00,1.34E+02,2
6.10E+00,2.60E+00,5.60E+00,1.40E+00,1.35E+02,2
7.70E+00,3.00E+00,6.10E+00,2.30E+00,1.36E+02,2
6.30E+00,3.40E+00,5.60E+00,2.40E+00,1.37E+02,2
6.40E+00,3.10E+00,5.50E+00,1.80E+00,1.38E+02,2
6.00E+00,3.00E+00,4.80E+00,1.80E+00,1.39E+02,2
6.90E+00,3.10E+00,5.40E+00,2.10E+00,1.40E+02,2
6.70E+00,3.10E+00,5.60E+00,2.40E+00,1.41E+02,2
6.90E+00,3.10E+00,5.10E+00,2.30E+00,1.42E+02,2
5.80E+00,2.70E+00,5.10E+00,1.90E+00,1.43E+02,2
6.80E+00,3.20E+00,5.90E+00,2.30E+00,1.44E+02,2
6.70E+00,3.30E+00,5.70E+00,2.50E+00,1.45E+02,2
6.70E+00,3.00E+00,5.20E+00,2.30E+00,1.46E+02,2
6.30E+00,2.50E+00,5.00E+00,1.90E+00,1.47E+02,2
6.50E+00,3.00E+00,5.20E+00,2.00E+00,1.48E+02,2
6.20E+00,3.40E+00,5.40E+00,2.30E+00,1.49E+02,2
5.90E+00,3.00E+00,5.10E+00,1.80E+00,1.50E+02,2
