x1,x2,x3,x4,labels,Output,KMeansLabels,PCADimension1,PCADimension2
5.6,2.7,4.2,1.3,1,95.0,0,0.0730887164278,-0.0108940763887
5.7,3.0,4.2,1.2,1,96.0,0,0.0150242781363,-0.00371871475373
5.7,2.9,4.2,1.3,1,97.0,0,0.0327360759182,-0.00955465599647
6.2,2.9,4.3,1.3,1,98.0,0,0.0140655108419,-0.0269714655115
5.1,2.5,3.0,1.1,1,99.0,0,0.130080483445,0.0266124048088
5.7,2.8,4.1,1.3,1,100.0,0,0.0510943323642,-0.0102230919541
6.3,3.3,6.0,2.5,2,101.0,1,-0.0708947629814,-0.0910587507804
5.8,2.7,5.1,1.9,2,102.0,0,0.0616259374877,-0.0529855441729
7.1,3.0,5.9,2.1,2,103.0,1,-0.043303033904,-0.107232753497
6.3,2.9,5.6,1.8,2,104.0,1,0.00675170173206,-0.0686514906422
6.5,3.0,5.8,2.2,2,105.0,1,-0.0215091834229,-0.0902324835893
7.6,3.0,6.6,2.1,2,106.0,1,-0.0622408318831,-0.134156591321
4.9,2.5,4.5,1.7,2,107.0,0,0.133251292609,-0.0123202474472
7.3,2.9,6.3,1.8,2,108.0,1,-0.0308121225062,-0.111407633263
6.7,2.5,5.8,1.8,2,109.0,1,0.0650166736062,-0.0934981066191
7.2,3.6,6.1,2.5,2,110.0,1,-0.159407301952,-0.114382582105
6.5,3.2,5.1,2.0,2,111.0,1,-0.0566210072667,-0.0674690680764
6.4,2.7,5.3,1.9,2,112.0,1,0.0391856283425,-0.0751533193654
6.8,3.0,5.5,2.1,2,113.0,1,-0.0319492628799,-0.0913953517458
5.7,2.5,5.0,2.0,2,114.0,0,0.101421196967,-0.0563234604139
5.8,2.8,5.1,2.4,2,115.0,0,0.0403026206236,-0.0686476063319
6.4,3.2,5.3,2.3,2,116.0,1,-0.0547906391903,-0.0782206182543
6.5,3.0,5.5,1.8,2,117.0,1,-0.0189678875834,-0.0711469671669
7.7,3.8,6.7,2.2,2,118.0,1,-0.21312223683,-0.124467032159
7.7,2.6,6.9,2.3,2,119.0,1,0.00595137723526,-0.158254330272
6.0,2.2,5.0,1.5,2,120.0,0,0.148196333334,-0.0546666624846
6.9,3.2,5.7,2.3,2,121.0,1,-0.073594820718,-0.100390941924
5.6,2.8,4.9,2.0,2,122.0,0,0.0502497881497,-0.044813672709
7.7,2.8,6.7,2.0,2,123.0,1,-0.0287812208472,-0.139830437783
6.3,2.7,4.9,1.8,2,124.0,0,0.0436909087099,-0.0620658389663
6.7,3.3,5.7,2.1,2,125.0,1,-0.0832542881492,-0.0846390781955
7.2,3.2,6.0,1.8,2,126.0,1,-0.0818944536897,-0.0967288361218
6.2,2.8,4.8,1.8,2,127.0,0,0.0291469351499,-0.055061932613
6.1,3.0,4.9,1.8,2,128.0,1,-0.00379983367321,-0.0489740950203
6.4,2.8,5.6,2.1,2,129.0,1,0.0195344545681,-0.0848198939782
7.2,3.0,5.8,1.6,2,130.0,1,-0.0439741011035,-0.0908997069031
7.4,2.8,6.1,1.9,2,131.0,1,-0.0167364523418,-0.117241026029
7.9,3.8,6.4,2.0,2,132.0,1,-0.219235191189,-0.118880438789
6.4,2.8,5.6,2.2,2,133.0,1,0.018932534721,-0.0884028945451
6.3,2.8,5.1,1.5,2,134.0,0,0.0270938729878,-0.0522329060261
6.1,2.6,5.6,1.4,2,135.0,0,0.0715509445106,-0.054745388483
7.7,3.0,6.1,2.3,2,136.0,1,-0.0669471827433,-0.136566529823
6.3,3.4,5.6,2.4,2,137.0,1,-0.0884284054947,-0.0788847906649
6.4,3.1,5.5,1.8,2,138.0,1,-0.0335563999605,-0.0657275655317
6.0,3.0,4.8,1.8,2,139.0,0,-3.00896042484e-05,-0.0442231293427
6.9,3.1,5.4,2.1,2,140.0,1,-0.0539436469435,-0.0907243673112
6.7,3.1,5.6,2.4,2,141.0,1,-0.0483880736153,-0.0983094565297
6.9,3.1,5.1,2.3,2,142.0,1,-0.0550138701862,-0.0931368542905
5.8,2.7,5.1,1.9,2,143.0,0,0.0616259374877,-0.0529855441729
6.8,3.2,5.9,2.3,2,144.0,1,-0.0699586931004,-0.100393490401
6.7,3.3,5.7,2.5,2,145.0,1,-0.0856619675373,-0.0989710804633
6.7,3.0,5.2,2.3,2,146.0,1,-0.0292942808708,-0.0906413777657
6.3,2.5,5.0,1.9,2,147.0,0,0.0796718853036,-0.0717392256031
6.5,3.0,5.2,2.0,2,148.0,1,-0.020038110826,-0.0735594541462
6.2,3.4,5.4,2.3,2,149.0,1,-0.0840122027616,-0.0689663197022
5.9,3.0,5.1,1.8,2,150.0,0,0.00356149919615,-0.0458101825379
