X1,X2,Y1,Y2,ProbabilityWeight,prefix,PointProbability
-1.0,1853.19913362,-1849.69913362,6485.49696765,0.05,52,3.71680091769e-09
-1.0,1441.22173531,-1437.72173531,5043.57607359,0.05,53,3.71680091769e-09
-1.0,1473.51959848,-1470.01959848,5156.61859467,0.05,56,3.71680091769e-09
-1.0,1100.71340182,-1097.21340182,3851.79690638,0.05,54,3.71680091769e-09
-1.0,454.300631875,-450.800631875,1589.35221156,0.05,55,3.71680091769e-09
-1.0,1121.92246577,-1118.42246577,3926.02863019,0.05,58,3.71680091769e-09
-1.0,1590.79549219,-1587.29549219,5567.08422267,0.05,57,3.71680091769e-09
-1.0,1925.5497963,-1922.0497963,6738.72428705,0.05,59,3.71680091769e-09
-1.0,1455.10123238,-1451.60123238,5092.15431334,0.05,61,3.71680091769e-09
-1.0,427.407887398,-423.907887398,1495.22760589,0.05,62,3.71680091769e-09
-1.0,1572.82095299,-1569.32095299,5504.17333548,0.05,60,3.71680091769e-09
-1.0,1619.55505042,-1616.05505042,5667.74267647,0.05,64,3.71680091769e-09
-1.0,1562.10068231,-1558.60068231,5466.65238807,0.05,65,3.71680091769e-09
-1.0,1161.13605051,-1157.63605051,4063.2761768,0.05,63,3.71680091769e-09
-1.0,958.668069672,-955.168069672,3354.63824385,0.05,66,3.71680091769e-09
-1.0,845.076147664,-841.576147664,2957.06651682,0.05,67,3.71680091769e-09
-1.0,1392.84077133,-1389.34077133,4874.24269965,0.05,68,3.71680091769e-09
-1.0,1391.21136754,-1387.71136754,4868.53978638,0.05,69,3.71680091769e-09
-1.0,655.755708612,-652.255708612,2294.44498014,0.05,70,3.71680091769e-09
-1.0,7.35898548909,-3.85898548909,25.0564492118,0.05,71,3.71680091769e-09
-1.0,1915.4061321,-1911.9061321,6703.22146234,0.05,72,3.71680091769e-09
-1.0,1631.97871662,-1628.47871662,5711.22550815,0.05,73,3.71680091769e-09
-1.0,1099.55857953,-1096.05857953,3847.75502834,0.05,74,3.71680091769e-09
-1.0,1686.82404926,-1683.32404926,5903.18417242,0.05,75,3.71680091769e-09
-1.0,660.90025675,-657.40025675,2312.45089863,0.05,76,3.71680091769e-09
-1.0,680.181429414,-676.681429414,2379.93500295,0.05,77,3.71680091769e-09
-1.0,627.298511245,-623.798511245,2194.84478936,0.05,78,3.71680091769e-09
-1.0,680.613756804,-677.113756804,2381.44814881,0.05,79,3.71680091769e-09
-1.0,411.943055785,-408.443055785,1441.10069525,0.05,80,3.71680091769e-09
-1.0,1581.89237061,-1578.39237061,5535.92329715,0.05,81,3.71680091769e-09
-1.0,1174.97351141,-1171.47351141,4111.70728994,0.05,83,3.71680091769e-09
-1.0,25.5522513822,-22.0522513822,88.7328798376,0.05,84,3.71680091769e-09
-1.0,1316.52809384,-1313.02809384,4607.14832845,0.05,85,3.71680091769e-09
-1.0,294.254529824,-290.754529824,1029.19085438,0.05,82,3.71680091769e-09
-1.0,373.934795236,-370.434795236,1308.07178333,0.05,86,3.71680091769e-09
-1.0,1775.49971449,-1771.99971449,6213.5490007,0.05,87,3.71680091769e-09
-1.0,1434.34798844,-1430.84798844,5019.51795954,0.05,88,3.71680091769e-09
-1.0,856.750213275,-853.250213275,2997.92574646,0.05,91,3.71680091769e-09
-1.0,1309.89955769,-1306.39955769,4583.9484519,0.05,92,3.71680091769e-09
-1.0,1635.99849577,-1632.49849577,5725.29473519,0.05,89,3.71680091769e-09
-1.0,446.621573634,-443.121573634,1562.47550772,0.05,90,3.71680091769e-09
-1.0,386.38714058,-382.88714058,1351.65499203,0.05,93,3.71680091769e-09
-1.0,1370.95343586,-1367.45343586,4797.63702552,0.05,94,3.71680091769e-09
-1.0,1887.95308161,-1884.45308161,6607.13578563,0.05,95,3.71680091769e-09
-1.0,372.054648207,-368.554648207,1301.49126872,0.05,96,3.71680091769e-09
-1.0,705.044081599,-701.544081599,2466.9542856,0.05,97,3.71680091769e-09
-1.0,906.809267333,-903.309267333,3173.13243567,0.05,98,3.71680091769e-09
-1.0,1816.30117256,-1812.80117256,6356.35410395,0.05,99,3.71680091769e-09
-1.0,1321.71144926,-1318.21144926,4625.29007241,0.05,100,3.71680091769e-09
-0.256310051772,936.044841291,-236.417701732,3275.97752748,0.05,101,0.000438746816083
-0.256310051772,1279.09771243,-324.345600894,4476.66257647,0.05,102,0.000438746816083
-0.256310051772,498.318906989,-124.224144849,1743.93675743,0.05,103,0.000438746816083
-0.256310051772,1073.82443153,-271.73199564,3758.20609332,0.05,105,0.000438746816083
-0.256310051772,1826.64347389,-464.687083363,6393.07274159,0.05,106,0.000438746816083
-0.256310051772,1044.34419122,-264.175913718,3655.02525222,0.05,107,0.000438746816083
-0.256310051772,578.342049052,-144.734880534,2024.01775464,0.05,104,0.000438746816083
-0.256310051772,1962.04605651,-499.392126323,6866.98178075,0.05,108,0.000438746816083
-0.256310051772,1070.89077427,-270.980069795,3747.9382929,0.05,109,0.000438746816083
-0.256310051772,1205.32042049,-305.435739377,4218.44205468,0.05,110,0.000438746816083
-0.256310051772,1846.89457152,-469.877643244,6463.95158329,0.05,111,0.000438746816083
-0.256310051772,1640.65157474,-417.015490061,5742.10109455,0.05,112,0.000438746816083
-0.256310051772,1997.36973131,-508.44593924,6990.61464255,0.05,113,0.000438746816083
-0.256310051772,347.638160071,-85.6031548057,1216.55414321,0.05,114,0.000438746816083
-0.256310051772,282.592608194,-68.9313260364,988.894711641,0.05,116,0.000438746816083
-0.256310051772,1113.64124508,-281.937445183,3897.56494076,0.05,115,0.000438746816083
-0.256310051772,86.2569031506,-18.6085113122,301.719743991,0.05,117,0.000438746816083
-0.256310051772,1889.41402964,-480.775807754,6612.76968669,0.05,118,0.000438746816083
-0.256310051772,131.252543566,-30.1413462365,459.204485444,0.05,119,0.000438746816083
-0.256310051772,18.4446391692,-1.22754642038,64.3768200561,0.05,120,0.000438746816083
-0.256310051772,1737.8758252,-441.93504273,6082.38597116,0.05,121,0.000438746816083
-0.256310051772,83.2135891736,-17.8284793492,291.068145071,0.05,122,0.000438746816083
-0.256310051772,1197.33352847,-303.388618671,4190.48793262,0.05,123,0.000438746816083
-0.256310051772,425.275610859,-105.502413837,1488.28522097,0.05,124,0.000438746816083
-0.256310051772,273.223195754,-66.5298514491,956.101768104,0.05,125,0.000438746816083
-0.256310051772,1021.93236095,-258.431536344,3576.5838463,0.05,126,0.000438746816083
-0.256310051772,1778.54355047,-452.358589499,6224.72300961,0.05,127,0.000438746816083
-0.256310051772,150.833647268,-35.1601799401,527.7383484,0.05,128,0.000438746816083
-0.256310051772,1467.89396402,-372.735977914,5137.44945704,0.05,129,0.000438746816083
-0.256310051772,1209.03164502,-306.38696353,4231.43134055,0.05,130,0.000438746816083
-0.256310051772,411.360996871,-101.935958405,1439.58407201,0.05,131,0.000438746816083
-0.256310051772,743.930774448,-187.176935314,2603.57829353,0.05,132,0.000438746816083
-0.256310051772,426.671415201,-105.86017252,1493.17053617,0.05,133,0.000438746816083
-0.256310051772,673.799919121,-169.201692154,2358.12029989,0.05,134,0.000438746816083
-0.256310051772,1876.96149384,-477.584097659,6569.18581139,0.05,135,0.000438746816083
-0.256310051772,113.292341147,-25.5379658247,396.343776978,0.05,136,0.000438746816083
-0.256310051772,1048.56024986,-265.256531928,3669.78145749,0.05,137,0.000438746816083
-0.256310051772,1740.14328833,-442.516216323,6090.32209213,0.05,138,0.000438746816083
-0.256310051772,496.101250988,-123.655737325,1736.17496142,0.05,141,0.000438746816083
-0.256310051772,1443.05451574,-366.369377639,5050.51138805,0.05,142,0.000438746816083
-0.256310051772,299.336688197,-73.223002049,1047.49899165,0.05,139,0.000438746816083
-0.256310051772,233.863712809,-56.4416203375,818.343577794,0.05,140,0.000438746816083
-0.256310051772,506.332860912,-126.278201794,1771.98559616,0.05,143,0.000438746816083
-0.256310051772,250.530914927,-60.7135917755,876.67878521,0.05,144,0.000438746816083
-0.256310051772,962.88836537,-243.297966779,3369.92986176,0.05,147,0.000438746816083
-0.256310051772,1640.96076173,-417.094737794,5743.18324901,0.05,148,0.000438746816083
-0.256310051772,553.694990592,-138.417591705,1937.75305004,0.05,145,0.000438746816083
-0.256310051772,1928.02381747,-490.671884472,6747.9039441,0.05,146,0.000438746816083
-0.256310051772,857.299073799,-216.234369989,3000.36734126,0.05,149,0.000438746816083
-0.256310051772,1114.09456961,-282.053636815,3899.15157659,0.05,150,0.000438746816083
-0.256310051772,1097.99158506,-277.926280011,3842.79113066,0.05,151,0.000438746816083
-0.256310051772,1853.19913362,-471.493565881,6486.01755062,0.05,152,0.000438746816083
-0.256310051772,1441.22173531,-365.899617592,5044.09665655,0.05,153,0.000438746816083
-0.256310051772,1100.71340182,-278.623909007,3852.31748935,0.05,154,0.000438746816083
-0.256310051772,454.300631875,-112.941818476,1589.87279453,0.05,155,0.000438746816083
-0.256310051772,1473.51959848,-374.177884573,5157.13917763,0.05,156,0.000438746816083
-0.256310051772,1590.79549219,-404.236874962,5567.60480564,0.05,157,0.000438746816083
-0.256310051772,1121.92246577,-284.060005285,3926.54921315,0.05,158,0.000438746816083
-0.256310051772,1925.5497963,-490.037767979,6739.24487001,0.05,159,0.000438746816083
-0.256310051772,1572.82095299,-399.62981989,5504.69391844,0.05,160,0.000438746816083
-0.256310051772,1455.10123238,-369.457072205,5092.6748963,0.05,161,0.000438746816083
-0.256310051772,427.407887398,-106.048937747,1495.74818886,0.05,162,0.000438746816083
-0.256310051772,1161.13605051,-294.110841221,4063.79675976,0.05,163,0.000438746816083
-0.256310051772,1619.55505042,-411.60823882,5668.26325943,0.05,164,0.000438746816083
-0.256310051772,1562.10068231,-396.882106755,5467.17297103,0.05,165,0.000438746816083
-0.256310051772,958.668069672,-242.21626257,3355.15882681,0.05,166,0.000438746816083
-0.256310051772,845.076147664,-213.101511159,2957.58709979,0.05,167,0.000438746816083
-0.256310051772,1392.84077133,-353.499090209,4874.76328261,0.05,168,0.000438746816083
-0.256310051772,1391.21136754,-353.081457639,4869.06036934,0.05,169,0.000438746816083
-0.256310051772,655.755708612,-164.576779624,2294.96556311,0.05,170,0.000438746816083
-0.256310051772,7.35898548909,1.6138180483,25.5770321756,0.05,171,0.000438746816083
-0.256310051772,1915.4061321,-487.437844882,6703.7420453,0.05,172,0.000438746816083
-0.256310051772,1631.97871662,-414.792549346,5711.74609112,0.05,173,0.000438746816083
-0.256310051772,1099.55857953,-278.327916444,3848.2756113,0.05,174,0.000438746816083
-0.256310051772,1686.82404926,-428.849959396,5903.70475538,0.05,175,0.000438746816083
-0.256310051772,660.90025675,-165.895379024,2312.97148159,0.05,176,0.000438746816083
-0.256310051772,680.181429414,-170.837337387,2380.45558591,0.05,177,0.000438746816083
-0.256310051772,627.298511245,-157.282913894,2195.36537232,0.05,178,0.000438746816083
-0.256310051772,680.613756804,-170.948147243,2381.96873178,0.05,179,0.000438746816083
-0.256310051772,411.943055785,-102.085145955,1441.62127821,0.05,180,0.000438746816083
-0.256310051772,1581.89237061,-401.95491541,5536.44388012,0.05,181,0.000438746816083
-0.256310051772,294.254529824,-71.9203937733,1029.71143735,0.05,182,0.000438746816083
-0.256310051772,1174.97351141,-297.65752154,4112.2278729,0.05,183,0.000438746816083
-0.256310051772,25.5522513822,-3.04929887465,89.2534628013,0.05,184,0.000438746816083
-0.256310051772,1316.52809384,-333.939383892,4607.66891141,0.05,185,0.000438746816083
-0.256310051772,373.934795236,-92.3432467262,1308.59236629,0.05,186,0.000438746816083
-0.256310051772,1775.49971449,-451.578423741,6214.06958367,0.05,187,0.000438746816083
-0.256310051772,1434.34798844,-364.137807176,5020.0385425,0.05,188,0.000438746816083
-0.256310051772,1635.99849577,-415.822859149,5725.81531816,0.05,189,0.000438746816083
-0.256310051772,446.621573634,-110.973598661,1562.99609068,0.05,190,0.000438746816083
-0.256310051772,856.750213275,-216.09369152,2998.44632943,0.05,191,0.000438746816083
-0.256310051772,1309.89955769,-332.240423447,4584.46903487,0.05,192,0.000438746816083
-0.256310051772,386.38714058,-95.5349080061,1352.17557499,0.05,193,0.000438746816083
-0.256310051772,1370.95343586,-347.889146123,4798.15760848,0.05,194,0.000438746816083
-0.256310051772,1887.95308161,-480.40135209,6607.65636859,0.05,195,0.000438746816083
-0.256310051772,372.054648207,-91.8613461438,1302.01185169,0.05,196,0.000438746816083
-0.256310051772,705.044081599,-177.209885056,2467.47486856,0.05,197,0.000438746816083
-0.256310051772,906.809267333,-228.924330257,3173.65301863,0.05,198,0.000438746816083
-0.256310051772,1816.30117256,-462.036247571,6356.87468691,0.05,199,0.000438746816083
-0.256310051772,1321.71144926,-335.267929987,4625.81065537,0.05,200,0.000438746816083
-0.168324123847,936.044841291,-154.058927792,3276.03911763,0.05,201,0.000699905564156
-0.168324123847,1279.09771243,-211.80300176,4476.72416662,0.05,202,0.000699905564156
-0.168324123847,498.318906989,-80.3790934155,1743.99834758,0.05,203,0.000699905564156
-0.168324123847,578.342049052,-93.8489186906,2024.07934479,0.05,204,0.000699905564156
-0.168324123847,1073.82443153,-177.250556603,3758.26768347,0.05,205,0.000699905564156
-0.168324123847,1826.64347389,-303.968162324,6393.13433174,0.05,206,0.000699905564156
-0.168324123847,1044.34419122,-172.288320982,3655.08684237,0.05,207,0.000699905564156
-0.168324123847,1962.04605651,-326.75968341,6867.0433709,0.05,208,0.000699905564156
-0.168324123847,1070.89077427,-176.756751315,3747.99988305,0.05,209,0.000699905564156
-0.168324123847,1205.32042049,-199.384503734,4218.50364483,0.05,210,0.000699905564156
-0.168324123847,1846.89457152,-307.37691059,6464.01317344,0.05,211,0.000699905564156
-0.168324123847,1997.36973131,-332.705510022,6990.6762327,0.05,213,0.000699905564156
-0.168324123847,1640.65157474,-272.661238857,5742.1626847,0.05,212,0.000699905564156
-0.168324123847,347.638160071,-55.0158887099,1216.61573336,0.05,214,0.000699905564156
-0.168324123847,1113.64124508,-183.952686859,3897.62653091,0.05,215,0.000699905564156
-0.168324123847,282.592608194,-44.0671531799,988.956301791,0.05,216,0.000699905564156
-0.168324123847,86.2569031506,-11.0191176486,301.781334141,0.05,217,0.000699905564156
-0.168324123847,1889.41402964,-314.533961123,6612.83127684,0.05,218,0.000699905564156
-0.168324123847,18.4446391692,0.395322272158,64.4384102057,0.05,220,0.000699905564156
-0.168324123847,83.2135891736,-10.5068544898,291.129735221,0.05,222,0.000699905564156
-0.168324123847,131.252543566,-18.5929693984,459.266075593,0.05,219,0.000699905564156
-0.168324123847,1197.33352847,-198.040117133,4190.54952277,0.05,223,0.000699905564156
-0.168324123847,1737.8758252,-289.026425632,6082.44756131,0.05,221,0.000699905564156
-0.168324123847,425.275610859,-68.0841445914,1488.34681112,0.05,224,0.000699905564156
-0.168324123847,273.223195754,-42.4900550401,956.163358253,0.05,225,0.000699905564156
-0.168324123847,1021.93236095,-168.515869289,3576.64543645,0.05,226,0.000699905564156
-0.168324123847,1778.54355047,-295.871784857,6224.78459976,0.05,227,0.000699905564156
-0.168324123847,150.833647268,-21.888941523,527.79993855,0.05,228,0.000699905564156
-0.168324123847,1467.89396402,-243.581965395,5137.51104719,0.05,229,0.000699905564156
-0.168324123847,1209.03164502,-200.009192352,4231.4929307,0.05,230,0.000699905564156
-0.168324123847,411.360996871,-65.7419793833,1439.64566216,0.05,231,0.000699905564156
-0.168324123847,743.930774448,-121.721495812,2603.63988368,0.05,232,0.000699905564156
-0.168324123847,426.671415201,-68.3190921344,1493.23212632,0.05,233,0.000699905564156
-0.168324123847,673.799919121,-109.916781034,2358.18189004,0.05,234,0.000699905564156
-0.168324123847,1876.96149384,-312.437898945,6569.24740154,0.05,235,0.000699905564156
-0.168324123847,113.292341147,-15.5698340622,396.405367128,0.05,236,0.000699905564156
-0.168324123847,1048.56024986,-172.997985359,3669.84304763,0.05,237,0.000699905564156
-0.168324123847,1740.14328833,-289.408094377,6090.38368228,0.05,238,0.000699905564156
-0.168324123847,233.863712809,-35.8649045582,818.405167943,0.05,240,0.000699905564156
-0.168324123847,299.336688197,-46.8855857761,1047.5605818,0.05,239,0.000699905564156
-0.168324123847,496.101250988,-80.005808412,1736.23655157,0.05,241,0.000699905564156
-0.168324123847,1443.05451574,-239.400887026,5050.5729782,0.05,242,0.000699905564156
-0.168324123847,553.694990592,-89.7002241701,1937.81464019,0.05,245,0.000699905564156
-0.168324123847,1928.02381747,-321.032919832,6747.96553425,0.05,246,0.000699905564156
-0.168324123847,506.332860912,-81.728035188,1772.0471863,0.05,243,0.000699905564156
-0.168324123847,250.530914927,-38.6703967518,876.74037536,0.05,244,0.000699905564156
-0.168324123847,962.88836537,-158.577340464,3369.99145191,0.05,247,0.000699905564156
-0.168324123847,1640.96076173,-272.713282486,5743.24483916,0.05,248,0.000699905564156
-0.168324123847,857.299073799,-140.804115472,3000.42893141,0.05,249,0.000699905564156
-0.168324123847,1097.99158506,-181.318471546,3842.85272081,0.05,251,0.000699905564156
-0.168324123847,1853.19913362,-308.43812048,6486.07914077,0.05,252,0.000699905564156
-0.168324123847,1441.22173531,-239.092385866,5044.1582467,0.05,253,0.000699905564156
-0.168324123847,1114.09456961,-184.028992312,3899.21316674,0.05,250,0.000699905564156
-0.168324123847,1100.71340182,-181.776618969,3852.3790795,0.05,254,0.000699905564156
-0.168324123847,454.300631875,-72.9697558236,1589.93438468,0.05,255,0.000699905564156
-0.168324123847,1473.51959848,-244.528895385,5157.20076778,0.05,256,0.000699905564156
-0.168324123847,1121.92246577,-185.346616075,3926.6108033,0.05,258,0.000699905564156
-0.168324123847,1925.5497963,-320.616482386,6739.30646016,0.05,259,0.000699905564156
-0.168324123847,1572.82095299,-261.243708881,5504.75550859,0.05,260,0.000699905564156
-0.168324123847,1590.79549219,-264.269257443,5567.66639579,0.05,257,0.000699905564156
-0.168324123847,1455.10123238,-241.42864005,5092.73648645,0.05,261,0.000699905564156
-0.168324123847,427.407887398,-68.4430581717,1495.80977901,0.05,262,0.000699905564156
-0.168324123847,1161.13605051,-191.94720837,4063.85834991,0.05,263,0.000699905564156
-0.168324123847,1619.55505042,-269.110184884,5668.32484958,0.05,264,0.000699905564156
-0.168324123847,1562.10068231,-259.43922871,5467.23456118,0.05,265,0.000699905564156
-0.168324123847,958.668069672,-157.866962888,3355.22041696,0.05,266,0.000699905564156
-0.168324123847,845.076147664,-138.74670214,2957.64868994,0.05,267,0.000699905564156
-0.168324123847,1392.84077133,-230.948702493,4874.82487276,0.05,268,0.000699905564156
-0.168324123847,1391.21136754,-230.674434527,4869.12195949,0.05,269,0.000699905564156
-0.168324123847,655.755708612,-106.87950511,2295.02715326,0.05,270,0.000699905564156
-0.168324123847,7.35898548909,2.26130521515,25.6386223251,0.05,271,0.000699905564156
-0.168324123847,1915.4061321,-318.909058997,6703.80363545,0.05,272,0.000699905564156
-0.168324123847,1631.97871662,-271.201387612,5711.80768127,0.05,273,0.000699905564156
-0.168324123847,1099.55857953,-181.582234517,3848.33720145,0.05,274,0.000699905564156
-0.168324123847,1686.82404926,-280.433180176,5903.76634553,0.05,275,0.000699905564156
-0.168324123847,660.90025675,-107.745456668,2313.03307174,0.05,276,0.000699905564156
-0.168324123847,680.181429414,-110.990943163,2380.51717606,0.05,277,0.000699905564156
-0.168324123847,627.298511245,-102.089472296,2195.42696247,0.05,278,0.000699905564156
-0.168324123847,680.613756804,-111.063714292,2382.03032193,0.05,279,0.000699905564156
-0.168324123847,411.943055785,-65.83995394,1441.68286836,0.05,280,0.000699905564156
-0.168324123847,1581.89237061,-262.770647304,5536.50547026,0.05,281,0.000699905564156
-0.168324123847,294.254529824,-46.0301359207,1029.7730275,0.05,282,0.000699905564156
-0.168324123847,1174.97351141,-194.276386852,4112.28946305,0.05,283,0.000699905564156
-0.168324123847,25.5522513822,-0.801060326226,89.3150529509,0.05,284,0.000699905564156
-0.168324123847,1316.52809384,-218.103437916,4607.73050156,0.05,285,0.000699905564156
-0.168324123847,373.934795236,-59.442246784,1308.65395644,0.05,286,0.000699905564156
-0.168324123847,1775.49971449,-295.359433832,6214.13117381,0.05,287,0.000699905564156
-0.168324123847,1434.34798844,-237.935368446,5020.10013265,0.05,288,0.000699905564156
-0.168324123847,1635.99849577,-271.878013416,5725.87690831,0.05,289,0.000699905564156
-0.168324123847,446.621573634,-71.6771850732,1563.05768083,0.05,290,0.000699905564156
-0.168324123847,856.750213275,-140.711729005,2998.50791958,0.05,291,0.000699905564156
-0.168324123847,1309.89955769,-216.987695376,4584.53062502,0.05,292,0.000699905564156
-0.168324123847,386.38714058,-61.538276904,1352.23716514,0.05,293,0.000699905564156
-0.168324123847,1370.95343586,-227.264535927,4798.21919863,0.05,294,0.000699905564156
-0.168324123847,1887.95308161,-314.288048326,6607.71795874,0.05,295,0.000699905564156
-0.168324123847,372.054648207,-59.1257726827,1302.07344184,0.05,296,0.000699905564156
-0.168324123847,705.044081599,-115.175927309,2467.53645871,0.05,297,0.000699905564156
-0.168324123847,906.809267333,-149.13787542,3173.71460878,0.05,298,0.000699905564156
-0.168324123847,1321.71144926,-218.975921676,4625.87224552,0.05,300,0.000699905564156
-0.104880036586,936.044841291,-94.6724172012,3276.08352849,0.05,301,0.000869232184154
-0.104880036586,1279.09771243,-130.651814877,4476.76857748,0.05,302,0.000869232184154
-0.168324123847,1816.30117256,-302.227303513,6356.93627706,0.05,299,0.000699905564156
-0.104880036586,498.318906989,-48.7637051968,1744.04275844,0.05,303,0.000869232184154
-0.104880036586,578.342049052,-57.156535264,2024.12375566,0.05,304,0.000869232184154
-0.104880036586,1073.82443153,-109.122745666,3758.31209433,0.05,305,0.000869232184154
-0.104880036586,1826.64347389,-188.078434372,6393.1787426,0.05,306,0.000869232184154
-0.104880036586,1044.34419122,-106.030856984,3655.13125323,0.05,307,0.000869232184154
-0.104880036586,1962.04605651,-202.279462191,6867.08778176,0.05,308,0.000869232184154
-0.104880036586,1070.89077427,-108.815063585,3748.04429391,0.05,309,0.000869232184154
-0.104880036586,1205.32042049,-122.914049799,4218.54805569,0.05,310,0.000869232184154
-0.104880036586,1846.89457152,-190.202370233,6464.0575843,0.05,311,0.000869232184154
-0.104880036586,1997.36973131,-205.984210496,6990.72064356,0.05,313,0.000869232184154
-0.104880036586,1640.65157474,-168.571597184,5742.20709557,0.05,312,0.000869232184154
-0.104880036586,347.638160071,-32.9603029471,1216.66014422,0.05,314,0.000869232184154
-0.104880036586,1113.64124508,-113.298734529,3897.67094177,0.05,315,0.000869232184154
-0.104880036586,282.592608194,-26.1383230864,989.000712652,0.05,316,0.000869232184154
-0.104880036586,86.2569031506,-5.54662715827,301.825745002,0.05,317,0.000869232184154
-0.104880036586,1889.41402964,-194.661812555,6612.8756877,0.05,318,0.000869232184154
-0.104880036586,131.252543566,-10.2657715712,459.310486454,0.05,319,0.000869232184154
-0.104880036586,18.4446391692,1.56552556911,64.4828210668,0.05,320,0.000869232184154
-0.104880036586,1737.8758252,-178.76848013,6082.49197217,0.05,321,0.000869232184154
-0.104880036586,83.2135891736,-5.22744427701,291.174146082,0.05,322,0.000869232184154
-0.104880036586,1197.33352847,-122.076384272,4190.59393363,0.05,323,0.000869232184154
-0.104880036586,425.275610859,-41.1029216262,1488.39122198,0.05,324,0.000869232184154
-0.104880036586,273.223195754,-25.155658767,956.207769114,0.05,325,0.000869232184154
-0.104880036586,1021.93236095,-103.680303406,3576.68984731,0.05,326,0.000869232184154
-0.104880036586,150.833647268,-12.3194384439,527.844349411,0.05,328,0.000869232184154
